GTFS Stop ID,Stop Name,Daytime-Routes,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,,id
R01,Astoria-Ditmars Blvd,N-W,40.77504,-73.91203,,Manhattan,,1
R03,Astoria Blvd,N-W,40.77026,-73.91784,Ditmars Blvd,Manhattan,,2
R04,30 Av,N-W,40.76678,-73.92148,Astoria - Ditmars Blvd,Manhattan,,3
R05,Broadway,N-W,40.76182,-73.92551,Astoria - Ditmars Blvd,Manhattan,,4
R06,36 Av,N-W,40.75680,-73.92958,Astoria - Ditmars Blvd,Manhattan,,5
R08,39 Av-Dutch Kills,N-W,40.75288,-73.93276,Astoria - Ditmars Blvd,Manhattan,,6
R11,Lexington Av/59 St,N-W-R,40.76266,-73.96726,Queens,Downtown & Brooklyn,,7
R13,5 Av/59 St,N-W-R,40.76481,-73.97335,Queens,Downtown & Brooklyn,,8
R14,57 St-7 Av,N-Q-R-W,40.76466,-73.98066,Uptown & Queens,Downtown & Brooklyn,,9
R15,49 St,N-R-W,40.75990,-73.98414,Uptown & Queens,Downtown & Brooklyn,,10
R16,Times Sq-42 St,N-Q-R-W,40.75467,-73.98675,Uptown & Queens,Downtown & Brooklyn,,11
R17,34 St-Herald Sq,N-Q-R-W,40.74957,-73.98795,Uptown & Queens,Downtown & Brooklyn,,12
R18,28 St,R-W,40.74549,-73.98869,Uptown & Queens,Downtown & Brooklyn,,13
R19,23 St,R-W,40.74130,-73.98934,Uptown & Queens,Downtown & Brooklyn,,14
R20,14 St-Union Sq,N-Q-R-W,40.73574,-73.99057,Uptown & Queens,Downtown & Brooklyn,,15
R21,8 St-NYU,R-W,40.73033,-73.99263,Uptown & Queens,Downtown & Brooklyn,,16
R22,Prince St,R-W,40.72433,-73.99770,Uptown & Queens,Downtown & Brooklyn,,17
R23,Canal St,R-W,40.71953,-74.00178,Uptown & Queens,Downtown & Brooklyn,,18
Q01,Canal St,N-Q,40.71838,-74.00046,Uptown & Queens,Downtown & Brooklyn,,19
R24,City Hall,R-W,40.71328,-74.00698,Uptown & Queens,Downtown & Brooklyn,,20
R25,Cortlandt St,R-W,40.71067,-74.01103,Uptown & Queens,Downtown & Brooklyn,,21
R26,Rector St,R-W,40.70722,-74.01334,Uptown & Queens,Downtown & Brooklyn,,22
R27,Whitehall St-South Ferry,R-W,40.70309,-74.01299,Uptown & Queens,Brooklyn,,23
R28,Court St,R,40.69410,-73.99178,Manhattan,Bay Ridge - 95 St,,24
R29,Jay St-MetroTech,R,40.69218,-73.98594,Manhattan,Bay Ridge - 95 St,,25
R30,DeKalb Av,B-Q-R,40.69064,-73.98182,Manhattan,Coney Island - Bay Ridge,,26
R31,Atlantic Av-Barclays Ctr,D-N-R,40.68367,-73.97881,Manhattan,Coney Island - Bay Ridge,,27
R32,Union St,R,40.67732,-73.98311,Manhattan,Bay Ridge - 95 St,,28
R33,4 Av-9 St,R,40.67085,-73.98830,Manhattan,Bay Ridge - 95 St,,29
R34,Prospect Av,R,40.66541,-73.99287,Manhattan,Bay Ridge - 95 St,,30
R35,25 St,R,40.66040,-73.99809,Manhattan,Bay Ridge - 95 St,,31
R36,36 St,D-N-R,40.65514,-74.00355,Manhattan,Coney Island - Bay Ridge,,32
R39,45 St,R,40.64894,-74.01001,Manhattan,Bay Ridge - 95 St,,33
R40,53 St,R,40.64507,-74.01403,Manhattan,Bay Ridge - 95 St,,34
R41,59 St,N-R,40.64136,-74.01788,Manhattan,Coney Island - Bay Ridge,,35
R42,Bay Ridge Av,R,40.63497,-74.02338,Manhattan,95 St,,36
R43,77 St,R,40.62974,-74.02551,Manhattan,95 St,,37
R44,86 St,R,40.62269,-74.02840,Manhattan,95 St,,38
R45,Bay Ridge-95 St,R,40.61662,-74.03088,Manhattan,,,39
