NAME,Longitude,Latitude,LINE,NOTES
Astor Pl,-73.99107,40.730054,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
Canal St,-74.000193,40.718803,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
50th St,-73.983849,40.761728,2-1,"1-all times, 2-nights"
Bergen St,-73.97499915,40.68086214,3-2,"4-nights, 3-all other times, 2-all times"
Pennsylvania Ave,-73.89488591,40.66471445,4-3,"4-nights, 3-all other times"
238th St,-73.90087,40.884667,1-1,"1-all times, exit only northbound"
Cathedral Pkwy (110th St),-73.95806671,40.80058156,A-B-C,"A-nights, B-weekdays and evenings, C-all times exc nights"
Kingston - Throop Aves,-73.940859,40.679919,A-C,"A-nights, C-all other times"
65th St,-73.89878838,40.74971953,E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
36th St,-73.92901818,40.75196004,E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
Delancey St - Essex St,-73.9874094,40.71830606,J-M-Z,"J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound"
Van Siclen Ave,-73.89165773,40.67802821,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
Norwood Ave,-73.879626,40.68152,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
104th-102nd Sts,-73.844435,40.695166,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
DeKalb Ave,-73.98177094,40.69064812,B-D-N-Q-R,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times"
Beach 105th St,-73.82758075,40.58326844,A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
Beach 90th St,-73.8136514,40.58809156,A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
Freeman St,-73.89175225,40.82998745,5-2,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
Intervale Ave,-73.89661738,40.82214213,5-2,"2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
182nd-183rd Sts,-73.900741,40.856093,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
174th-175th Sts,-73.910136,40.8459,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
167th St,-73.918432,40.833769,B-D,"B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
Mets - Willets Point,-73.845625,40.754622,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
Junction Blvd,-73.869527,40.749145,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
Flushing - Main St,-73.83003,40.7596,7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
Buhre Ave,-73.832569,40.84681,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
3rd Ave - 138th St,-73.926138,40.810476,6-6 Express,"6-all times, 6 Express-weekdays AM southbound, PM northbound"
Castle Hill Ave,-73.851222,40.834255,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
Brooklyn Bridge - City Hall,-74.004131,40.713065,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
Zerega Ave,-73.847036,40.836488,6-6 Express,"6 Express-weekdays AM southbound, PM northbound, 6-all other times"
Grand Central - 42nd St,-73.9767133,40.75180743,4-5-6-6 Express,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
33rd St,-73.982076,40.746081,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
96th St,-73.95107,40.785672,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
77th St,-73.959874,40.77362,4-6-6 Express,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
Chauncey St,-73.91038357,40.6828513,J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
Union St,-73.98311,40.67731567,D-N-R,"D,N-nights, R-all other times"
Elmhurst Ave,-73.88203475,40.74237008,E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
Ralph Ave,-73.920786,40.678822,A-C,"A-nights, C-all other times"
